Order_ID,Restaurant_ID,Order_Date,Expected_Delivery_Time,Actual_Delivery_Time,Total_Amount,Order_Status,Payment_Method,Dish_Name,Customer_ID
O0001,R079,2023-02-27 08:00:00,26,29,731.48,Cancelled,Credit Card,Margherita Pizza,C187
O0002,R010,2023-01-09 18:00:00,35,40,461.67,Cancelled,UPI,Chicken Wings,C036
O0003,R055,2023-08-08 12:00:00,29,28,557.85,Cancelled,Cash,Egg Fried Rice,C179
O0004,R072,2023-02-26 22:00:00,35,42,209.42,Cancelled,UPI,Paneer Tikka,C186
O0005,R097,2023-06-26 12:00:00,33,23,411.99,Cancelled,Cash,Egg Fried Rice,C176
O0006,R051,2023-05-20 12:00:00,40,24,789.65,Cancelled,Net Banking,Veg Manchurian,C104
O0007,R006,2023-07-27 14:00:00,40,35,983.98,Cancelled,Cash,Dal Makhani,C029
O0008,R024,2023-08-14 12:00:00,44,42,543.86,Cancelled,Credit Card,Mutton Rogan Josh,C032
O0009,R032,2023-03-13 00:00:00,35,25,526.1,Cancelled,Cash,Veg Thali,C130
O0010,R063,2023-05-30 12:00:00,33,33,273.02,Cancelled,Net Banking,Paneer Butter Masala,C137
O0011,R029,2023-08-30 16:00:00,45,32,736.05,Cancelled,Credit Card,Egg Fried Rice,C059
O0012,R017,2023-08-22 08:00:00,27,30,905.24,Cancelled,Credit Card,Mutton Rogan Josh,C182
O0013,R036,2023-05-19 04:00:00,39,29,204.71,Cancelled,UPI,Chicken Biryani,C064
O0014,R046,2023-04-01 02:00:00,30,26,700.63,Cancelled,UPI,Margherita Pizza,C153
O0015,R041,2023-01-08 04:00:00,28,54,327.81,Cancelled,Cash,Veg Manchurian,C007
O0016,R056,2023-07-20 12:00:00,41,30,265.13,Cancelled,Cash,Chicken Biryani,C030
O0017,R014,2023-02-15 18:00:00,33,31,715.43,Cancelled,UPI,Paneer Tikka,C171
O0018,R072,2023-05-13 12:00:00,42,46,393.15,Cancelled,UPI,Garlic Naan,C197
O0019,R037,2023-02-28 10:00:00,37,27,218.92,Cancelled,UPI,Egg Fried Rice,C022
