Restaurant_ID,Name,Location,Cuisine_Types,Avg_Cost_for_Two,Ratings,Reviews_Count,Operational_Hours
R001,Brew Room,Mumbai,Continental,532,4.3,55,22:00-06:00
R002,Domino's Pizza,Chennai,American,939,4.1,483,11:00-22:30
R003,KFC,Chennai,Mexican,458,3.8,319,22:00-06:00
R004,Brew Room,Bangalore,Thai,280,3.0,84,09:00-23:00
R005,Mainland China,Delhi,American,560,4.9,401,11:00-22:30
R006,Sagar Ratna,Hyderabad,Japanese,272,4.8,493,09:00-23:00
R007,Le Cirque,Mumbai,American,324,3.9,91,09:00-23:00
R008,Yauatcha,Pune,Mexican,567,3.7,401,10:00-22:30
R009,Imly,Delhi,"Indian, Chinese",908,4.9,429,22:00-06:00
R010,Al Jawahar,Kolkata,"Indian, Chinese",230,3.2,392,09:00-23:00
R011,Sly Granny,Delhi,"Italian, Indian",553,3.4,252,11:00-22:00
R012,Daryaganj,Mumbai,Thai,556,3.2,53,10:00-22:30
R013,Sigree Global Grill,Delhi,Thai,382,3.2,234,10:00-22:30
R014,Al Jawahar,Chennai,Fast Food,210,4.2,71,10:00-23:00
R015,Kylin,Chennai,Continental,436,3.3,109,10:00-23:00
R016,The Great Kebab Factory,Bangalore,Japanese,574,4.4,367,10:00-23:00
R017,Indian Accent,Kolkata,Thai,272,4.9,51,11:00-22:00
R018,Mainland Dhaba,Pune,Thai,810,3.4,188,10:00-22:30
R019,Wow! China,Delhi,American,346,3.8,497,10:00-23:00
R020,Chaayos,Mumbai,American,412,3.3,377,10:00-22:30
R021,Smoke BBQ,Kolkata,American,203,4.9,408,22:00-06:00
R022,Byblos,Chennai,"Indian, Chinese",409,3.7,199,10:00-23:00
R023,ITC Grand Chola,Delhi,"Italian, Indian",874,4.0,422,11:00-22:00
R024,Ohri's,Kolkata,"Italian, Indian",889,3.7,166,10:00-23:00
R025,Biryani By Kilo,Chennai,Mexican,949,4.3,122,00:00-23:59
R026,Anjappar Chettinad,Hyderabad,Thai,326,3.2,434,09:00-23:00
R027,Rajdhani Thali,Hyderabad,Fast Food,965,4.5,343,22:00-06:00
R028,The Fatty Bao,Chennai,"Indian, Chinese",207,3.6,197,11:00-22:00
R029,Mahesh Lunch Home,Kolkata,"Indian, Chinese",500,4.7,147,11:00-22:30
R030,Byblos,Chennai,Japanese,577,3.9,103,09:00-23:00
R031,Biryani By Kilo,Hyderabad,American,906,3.9,272,11:00-22:30
